,CustomerID,pfm_spent,fm_nb_orders,fm_nb_items,fm_total_spent,fm_used_coupon,first_order_month,fm_purchased_accessory,first_item_size,accepts_marketing,wealthy_zip,region,first_item_price_range
7791,Anonymous10162,0.0,1,2,85.0,1,7,0,S,0,0,MW,high
7792,Anonymous10191,0.0,1,1,25.0,0,9,1,No size,0,0,W,low
7793,Anonymous10192,0.0,1,2,70.0,0,6,0,S,0,1,W,low
7794,Anonymous10194,0.0,1,2,34.0,0,7,1,S,1,0,S,low
7795,Anonymous1024,0.0,1,1,50.0,0,7,0,M,0,0,NE,high
7796,Anonymous10226,0.0,1,1,50.0,0,3,0,S,0,0,S,high
7797,Anonymous10227,0.0,1,1,37.8,1,12,0,S,0,1,W,medium
7798,Anonymous10229,0.0,1,2,82.8,1,12,0,S,0,0,W,high
7799,Anonymous10230,0.0,1,3,108.0,1,12,0,M,0,0,W,medium
7800,Anonymous10240,0.0,1,1,22.5,1,1,1,No size,0,1,NE,low
7801,Anonymous10221,0.0,1,2,77.0,0,8,0,S,0,0,MW,high
7802,Anonymous10242,0.0,1,4,157.0,1,8,0,M,0,1,S,medium
7803,Anonymous10243,0.0,1,1,25.0,0,2,1,No size,0,1,S,low
7804,Anonymous10246,0.0,1,1,40.5,1,3,0,XL,0,1,W,high
7805,Anonymous10248,0.0,1,2,85.0,0,6,0,S,0,0,S,medium
7806,Anonymous1025,0.0,1,1,50.0,0,3,0,M,0,1,NE,high
7807,Anonymous10251,0.0,1,2,85.0,1,10,0,L,0,0,NE,high
7808,Anonymous10222,0.0,1,2,85.0,1,6,0,S,0,0,W,high
7809,Anonymous10220,0.0,1,2,88.2,1,3,0,M,0,0,W,high
7810,Anonymous10195,0.0,1,1,45.0,1,2,0,M,1,1,S,high
7811,Anonymous10207,0.0,1,1,37.6,1,4,0,M,0,0,S,high
7812,Anonymous10196,0.0,1,1,22.5,1,3,1,No size,0,0,W,low
7813,Anonymous10197,0.0,1,1,42.0,0,7,0,XS,0,0,W,medium
7814,Anonymous102,0.0,1,2,31.0,0,10,1,No size,1,0,MW,low
7815,Anonymous1020,0.0,1,1,32.0,0,8,0,M,0,1,W,medium
7816,Anonymous10201,0.0,1,1,16.0,0,11,1,No size,0,0,W,low
7817,Anonymous10202,0.0,1,1,45.0,0,3,0,XL,0,0,S,high
7818,Anonymous10203,0.0,1,1,16.0,0,10,1,No size,1,0,S,low
7819,Anonymous10206,0.0,1,2,30.0,0,10,1,No size,0,0,NE,low
7820,Anonymous1022,0.0,1,1,45.0,1,1,0,L,0,0,MW,high
7821,Anonymous1021,0.0,1,2,85.0,0,9,0,M,0,1,MW,high
7822,Anonymous10210,0.0,1,2,40.0,0,8,0,S,0,0,W,low
7823,Anonymous10212,0.0,1,1,45.0,0,8,0,M,0,0,W,medium
7824,Anonymous10215,0.0,1,1,50.0,0,6,0,S,0,0,NE,high
7825,Anonymous10219,0.0,1,1,45.0,1,3,0,S,0,0,NE,high
7826,Anonymous1013,0.0,1,1,45.0,0,8,0,XL,0,0,S,high
7827,Anonymous10045,0.0,1,2,95.0,0,5,0,XL,0,0,W,medium
7828,Anonymous10035,0.0,1,1,40.0,0,7,0,L,0,0,MW,medium
7829,Anonymous10037,0.0,1,1,50.0,0,9,0,S,0,0,NE,high
7830,Anonymous10038,0.0,1,3,94.4,1,1,0,XS,0,0,W,high
7831,Anonymous10039,0.0,1,2,31.0,0,11,1,No size,0,1,W,low
7832,Anonymous1004,0.0,1,1,50.0,0,11,0,M,0,0,W,high
7833,Anonymous10042,0.0,1,1,25.0,0,5,1,No size,0,0,S,low
7834,Anonymous10044,0.0,1,1,34.0,1,7,0,S,0,0,S,medium
7835,Anonymous10048,0.0,1,2,86.4,1,5,0,XS,1,0,S,high
7836,Anonymous10033,0.0,1,1,50.0,0,1,0,XL,0,0,NE,high
7837,Anonymous10049,0.0,1,1,16.0,0,11,1,No size,0,0,S,low
7838,Anonymous1005,0.0,1,2,65.0,0,1,1,L,0,1,S,medium
7839,Anonymous10053,0.0,1,1,50.0,0,1,0,S,0,1,NE,high
7840,Anonymous10054,0.0,1,2,71.0,0,2,0,M,1,1,S,low
7841,Anonymous10057,0.0,1,3,144.0,0,7,0,XL,0,0,MW,high
7842,Anonymous10032,0.0,1,1,15.0,0,4,1,No size,0,0,W,low
7843,Anonymous10011,0.0,1,1,48.0,0,3,0,S,0,0,S,high
7844,Anonymous1000,0.0,1,1,15.0,0,11,1,No size,1,0,MW,low
7845,Anonymous10001,0.0,1,3,57.0,0,6,1,No size,0,0,W,low
7846,Anonymous10002,0.0,1,1,43.2,1,11,0,S,0,0,S,high
7847,Anonymous10003,0.0,1,1,35.0,0,11,0,S,0,0,S,medium
7848,Anonymous10004,0.0,1,1,35.0,0,11,0,S,0,0,S,medium
7849,Anonymous10007,0.0,1,1,25.0,0,3,1,No size,0,0,S,low
7850,Anonymous10009,0.0,1,1,48.0,0,9,0,M,0,1,W,high
7851,Anonymous10010,0.0,1,1,35.0,0,6,0,M,0,1,W,medium
7852,Anonymous10016,0.0,1,1,12.0,1,12,1,No size,0,0,W,low
7853,Anonymous10017,0.0,1,1,25.0,0,7,1,No size,0,0,S,low
7854,Anonymous10020,0.0,1,1,25.0,0,3,1,No size,1,0,W,low
7855,Anonymous10023,0.0,1,1,35.0,0,9,0,M,0,0,S,medium
7856,Anonymous10025,0.0,1,1,25.0,0,2,1,No size,0,0,S,low
7857,Anonymous10026,0.0,1,2,82.8,1,3,0,M,0,0,NE,medium
7858,Anonymous1003,0.0,1,5,159.0,0,5,0,L,1,0,S,low
7859,Anonymous1006,0.0,1,2,44.8,1,12,0,S,0,0,NE,low
7860,Anonymous10062,0.0,1,1,50.0,0,11,0,M,0,0,S,high
7861,Anonymous10128,0.0,1,1,22.4,1,12,0,M,1,0,W,low
7862,Anonymous10100,0.0,1,2,90.0,1,2,0,S,0,1,NE,high
7863,Anonymous10101,0.0,1,1,40.0,0,8,0,M,1,0,MW,high
7864,Anonymous10102,0.0,1,1,40.0,0,7,0,S,0,0,S,medium
7865,Anonymous10103,0.0,1,1,45.0,0,8,0,S,1,0,W,medium
7866,Anonymous10105,0.0,1,2,98.0,0,12,0,XS,0,0,S,high
7867,Anonymous10108,0.0,1,2,96.0,0,8,0,S,0,0,W,high
7868,Anonymous10109,0.0,1,1,50.0,0,12,0,S,1,0,W,high
7869,Anonymous10110,0.0,1,3,108.9,1,1,0,M,1,0,S,low
7870,Anonymous10097,0.0,1,1,40.0,0,9,0,S,0,0,W,high
7871,Anonymous10113,0.0,1,2,78.4,1,6,0,XS,0,0,W,high
7872,Anonymous10114,0.0,1,1,45.0,1,12,0,S,1,0,S,high
7873,Anonymous10115,0.0,1,1,36.0,1,9,0,S,0,0,S,high
7874,Anonymous10118,0.0,1,2,85.0,0,5,0,S,0,0,S,medium
7875,Anonymous10121,0.0,1,2,61.5,1,11,0,L,0,0,MW,medium
7876,Anonymous10096,0.0,1,1,42.5,1,9,0,M,0,0,S,high
7877,Anonymous10063,0.0,1,1,43.2,1,7,0,M,0,0,W,high
7878,Anonymous10080,0.0,1,1,33.75,1,11,0,S,1,0,W,medium
7879,Anonymous10066,0.0,1,1,48.0,0,12,0,XS,0,0,S,high
7880,Anonymous1007,0.0,1,1,40.0,0,7,0,S,0,0,NE,medium
7881,Anonymous10073,0.0,1,1,15.0,0,7,0,S,0,0,W,low
7882,Anonymous10074,0.0,1,1,25.0,0,7,1,No size,1,0,W,low
7883,Anonymous10082,0.0,1,1,35.0,0,9,0,M,0,0,S,medium
7884,Anonymous10083,0.0,1,1,45.0,0,3,0,M,0,0,MW,medium
7885,Anonymous10084,0.0,1,1,16.0,0,8,1,No size,0,0,W,low
7886,Anonymous10087,0.0,1,1,45.0,0,4,0,M,0,0,S,high
7887,Anonymous10088,0.0,1,1,22.5,1,7,1,No size,0,0,NE,low
7888,Anonymous10089,0.0,1,1,12.0,1,11,0,M,0,0,W,low
7889,Anonymous10091,0.0,1,1,16.0,0,11,1,No size,1,0,MW,low
7890,Anonymous10093,0.0,1,1,48.0,0,10,0,XL,0,0,W,high
7891,Anonymous10256,0.0,1,2,85.0,1,9,0,M,1,0,MW,high
7892,Anonymous10554,0.0,1,1,35.0,0,9,0,XL,0,0,S,medium
7893,Anonymous10436,0.0,1,1,50.0,0,1,0,S,0,0,W,high
7894,Anonymous1044,0.0,1,2,98.0,0,11,0,S,0,1,W,high
7895,Anonymous10440,0.0,1,1,28.0,0,1,0,S,0,0,W,low
7896,Anonymous10441,0.0,1,2,98.0,0,11,0,S,1,0,S,high
7897,Anonymous10443,0.0,1,1,19.0,0,7,0,L,0,0,MW,low
7898,Anonymous10444,0.0,1,1,36.0,1,6,0,M,0,0,S,high
7899,Anonymous10446,0.0,1,1,45.0,0,4,0,S,0,1,S,high
7900,Anonymous10447,0.0,1,1,40.0,0,10,0,XL,0,0,MW,high
7901,Anonymous10448,0.0,1,2,82.0,0,11,0,S,0,0,W,low
7902,Anonymous1045,0.0,1,4,115.6,1,9,1,No size,0,1,NE,low
7903,Anonymous10450,0.0,1,2,58.0,0,7,0,L,0,1,NE,medium
7904,Anonymous10455,0.0,1,4,150.0,1,10,0,S,0,0,MW,medium
7905,Anonymous10458,0.0,1,1,29.75,1,6,0,S,1,0,S,low
7906,Anonymous10459,0.0,1,1,48.0,0,5,0,M,1,1,W,high
7907,Anonymous10461,0.0,1,1,22.5,1,10,1,No size,0,0,MW,low
7908,Anonymous10433,0.0,1,1,21.6,1,4,0,M,0,0,NE,low
7909,Anonymous10432,0.0,1,1,45.0,0,11,0,L,0,0,W,high
7910,Anonymous10417,0.0,1,1,15.0,0,11,0,M,0,0,MW,low
7911,Anonymous104,0.0,1,2,75.0,0,9,0,M,0,0,W,low
7912,Anonymous1040,0.0,1,1,21.25,1,7,0,M,0,0,S,low
7913,Anonymous10401,0.0,1,1,35.0,0,10,0,L,0,0,S,medium
7914,Anonymous10402,0.0,1,2,98.0,0,5,0,S,0,0,S,high
7915,Anonymous10404,0.0,1,1,50.0,0,1,0,M,0,0,S,high
7916,Anonymous10411,0.0,1,1,25.0,0,3,1,No size,0,0,W,low
7917,Anonymous10412,0.0,1,1,20.0,0,1,1,No size,0,0,MW,low
7918,Anonymous10415,0.0,1,1,50.0,0,1,0,XS,0,0,W,high
7919,Anonymous10418,0.0,1,1,40.0,0,8,0,M,0,0,NE,medium
7920,Anonymous10431,0.0,1,3,150.0,0,11,0,S,1,0,W,high
7921,Anonymous10419,0.0,1,1,32.0,0,7,0,S,0,0,MW,low
7922,Anonymous10425,0.0,1,2,83.0,0,5,0,M,0,0,MW,high
